Station,City,Date,Avg_Temp
USR0000MPPH,"PORPHYRY MONTANA, MT US",1/2/21,18
USS0009D08S,"WHITE MILL, MT US",1/2/21,18
USS0009D06S,"FISHER CREEK, MT US",1/2/21,17
USS0011E29S,"CARROT BASIN, MT US",1/2/21,15
USR0000MYEL,"YELLOW MULE MONTANA, MT US",1/2/21,12
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",1/2/21,37
USR0000MMIS,"MISSOULA FTS MONTANA, MT US",1/2/21,35
USR0000MFOR,"FORT BELKNAP MONTANA, MT US",1/3/21,43
USW00094012,"HAVRE AIRPORT ASOS, MT US",1/3/21,43
USW00024144,"HELENA AIRPORT ASOS, MT US",1/3/21,42
USW00024143,"GREAT FALLS AIRPORT, MT US",1/3/21,42
USR0000MDRY,"DRY BLOOD CREEK MONTANA, MT US",1/3/21,42
USR0000MARM,"ARMELLS CREEK MONTANA, MT US",1/3/21,42
USR0000MPLN,"PLAINS MONTANA, MT US",1/3/21,42
USR0000MSTE,"STEVI MONTANA, MT US",1/3/21,41
USR0000MHOT,"HOT SPRINGS MONTANA, MT US",1/3/21,40
USW00024137,"CUT BANK AIRPORT, MT US",1/3/21,40
USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1/3/21,40
USR0000MLIT,"LITTLE BULLWACKER CREEK MONTAN, MT US",1/3/21,40
USR0000MSSC,"SOUTH SAWMILL CREEK MONTANA, MT US",1/3/21,40
USS0009D21S,"BURNT MOUNTAIN, MT US",1/3/21,39
USR0000MBAP,"BADGER PEAK MONTANA, MT US",1/3/21,39
USR0000MFIS,"FISHTAIL MONTANA, MT US",1/3/21,39
USR0000MROC,"ROCKY BOY MONTANA, MT US",1/3/21,39
USR0000MSOD,"SODA SPRINGS MONTANA, MT US",1/3/21,39
USR0000MMAC,"MANNING CORRAL DOGTOWN MONTANA, MT US",1/3/21,39
USR0000MKIN,"KING COULEE MONTANA, MT US",1/3/21,39
USR0000MTHO,"THOMPSON FALLS AIRPORT MONTANA, MT US",1/3/21,38
USR0000MWOL,"WOLF MOUNTAIN MONTANA, MT US",1/3/21,38
USR0000MCBT,"CABINET TROUT CREEK MONTANA, MT US",1/3/21,38
USR0000MEUR,"EUREKA MONTANA, MT US",1/3/21,38
USR0000MTRY,"TROY MONTANA, MT US",1/3/21,38
USR0000MCON,"CONDON WORK CENTER MONTANA, MT US",1/3/21,38
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",1/3/21,38
USR0000MLIS,"LITTLE SNOWY MONTANA, MT US",1/3/21,38
USR0000MGIN,"GINGER MONTANA, MT US",1/3/21,38
USR0000MWHH,"WHITEHALL MONTANA, MT US",1/3/21,38
USS0009A01S,"ROCKY BOY, MT US",1/3/21,37
USW00094008,"GLASGOW INTERNATIONAL AIRPORT, MT US",1/3/21,37
USR0000MHUN,"HUNGRY HORSE MONTANA, MT US",1/3/21,37
USR0000MJET,"JETTE MONTANA, MT US",1/3/21,37
USR0000MLIH,"LITTLE BIGHORN MONTANA, MT US",1/3/21,37
USR0000MNIN,"NINE MILE MONTANA, MT US",1/3/21,37
USS0013B22S,"KRAFT CREEK, MT US",1/3/21,37
USR0000MHEL,"HELENA MONTANA, MT US",1/3/21,37
USR0000MPIN,"PINE HILL MONTANA, MT US",1/3/21,36
USR0000MLIB,"LIBBY MONTANA, MT US",1/3/21,36
USR0000MBSM,"BIG SHEEP MOUNTAIN MONTANA, MT US",1/3/21,36
USR0000MWEG,"WEST GLACIER MONTANA, MT US",1/3/21,36
USR0000MLNC,"LINCOLN MONTANA, MT US",1/3/21,36
USR0000MWSS,"WHITE SULPHUR SPRING MONTANA, MT US",1/3/21,35
USR0000MPOP,"POPLAR MONTANA, MT US",1/3/21,35
USR0000MPOL,"POLEBRIDGE MONTANA, MT US",1/3/21,35
USR0000MSTW,"STILLWATER MONTANA, MT US",1/3/21,35
USR0000MSTR,"ST. REGIS MONTANA, MT US",1/3/21,35
USS0012B16S,"COPPER BOTTOM, MT US",1/3/21,35
USR0000MPAR,"PARDEE MONTANA, MT US",1/3/21,34
USR0000MSEE,"SEELEY LAKE MONTANA, MT US",1/3/21,34
USR0000MDER,"DERBY MOUNTAIN MONTANA, MT US",1/3/21,34
USR0000MBOO,"BOORMAN MONTANA, MT US",1/3/21,34
USS0010D39S,"EAST BOULDER MINE, MT US",1/3/21,34
